identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-som-fp3390fx,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3390fx,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3390fx,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-ep3893fy,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-ep3893fy,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-ep3893fy,hwrc-trans-05,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-bp3391hx,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-bp3391hx,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-bp3391hx,hwrc-trans-05,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3190fs,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3190fs,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3190fs,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
